id,title_bg,title_en,year,year_end,era,category,source_count,conflict_notes_bg,conflict_notes_en,person_ids,place_ids,organization_ids,source_ids
event-prehistory-settlement,Едно от най-старите селища в света,One of the world's oldest settlements,-6000,,prehistory,historical_timeline,2,,,,place-old-town|place-plovdiv-city|place-seven-hills,,source-wikipedia-plovdiv|source-visit-plovdiv-the-antique-plovdiv
event-thracian-eumolpias,Тракийският град Евмолпия,The Thracian town of Eumolpias,-500,,thracian,historical_timeline,2,,,,place-nebet-tepe|place-seven-hills,,source-wikipedia-plovdiv|source-visit-plovdiv-the-antique-plovdiv
event-philip-philippopolis,Филип II и Филипопол,Philip II and Philippopolis,-342,,thracian,historical_timeline,2,,,,,,source-wikipedia-plovdiv|source-visit-plovdiv-the-antique-plovdiv
event-roman-trimontium,Тримонциум — част от Римската империя,Trimontium joins the Roman Empire,46,,roman,historical_timeline,1,,,,place-seven-hills,org-regional-history-museum-plovdiv,source-wikipedia-plovdiv
event-roman-theatre,Изграждане на Античния театър,The Roman theatre is built,95,,roman,historical_timeline,2,,,,place-ancient-theatre,org-regional-history-museum-plovdiv,source-wikipedia-plovdiv|source-visit-plovdiv-ancient-theatre
event-roman-stadium,Изграждане на Античния стадион,The Roman stadium is built,130,,roman,historical_timeline,2,,,,place-ancient-stadium,,source-wikipedia-plovdiv|source-ancient-stadium-of-philippopolis-site-history
event-goths-250,Опожаряване от готите,Sacked by the Goths,250,,roman,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-huns-441,Разрушение от хуните,Destroyed by the Huns,441,,roman,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-krum-812,Хан Крум превзема града,Khan Krum takes the city,812,,medieval,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-malamir-834,В пределите на България,Into the Bulgarian Empire,834,,medieval,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-barbarossa-1189,Третият кръстоносен поход,The Third Crusade,1189,,medieval,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-ivan-asen-1230,Иван Асен II си връща града,Ivan Asen II reclaims the city,1230,,medieval,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-bulgaria-1323,Окончателно българско владение,Definitive Bulgarian rule,1323,,medieval,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-ottoman-1364,Османско завладяване — Филибе,Ottoman conquest — Filibe,1364,,ottoman,historical_timeline,1,,,,place-plovdiv-city,,source-wikipedia-plovdiv
event-birth-haf-z-ahmed-pasha-q367949,Раждане на Хафъз Ахмед паша,Birth of Hafız Ahmed Pasha,1564,,ottoman,notable_person_birth,1,,,person-haf-z-ahmed-pasha-q367949,place-plovdiv-city,,source-wikipedia-haf-z-ahmed-pasha
event-birth-eugenius-ii-of-constantinople-q1884172,Раждане на Евгений II Константинополски,Birth of Eugenius II of Constantinople,1780,,revival,notable_person_birth,1,,,person-eugenius-ii-of-constantinople-q1884172,place-plovdiv-city,,source-wikipedia-eugenius-ii-of-constantinople
event-birth-georgios-kleovoulos-q18912873,Раждане на Георгиос Клеовулос,Birth of Georgios Kleovoulos,1785,,revival,notable_person_birth,1,,,person-georgios-kleovoulos-q18912873,place-plovdiv-city,,source-wikipedia-georgios-kleovoulos
event-first-school-1836,Първото българско училище,The first Bulgarian school,1836,,revival,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-birth-ivan-evstratiev-geshov-q523393,Раждане на Иван Евстратиев Гешов,Birth of Ivan Evstratiev Geshov,1849,,revival,notable_person_birth,1,,,person-ivan-evstratiev-geshov-q523393,place-plovdiv-city,,source-wikipedia-ivan-evstratiev-geshov
event-birth-konstantin-stoilov-q523488,Раждане на Константин Стоилов,Birth of Konstantin Stoilov,1853,,revival,notable_person_birth,1,,,person-konstantin-stoilov-q523488,place-plovdiv-city,,source-wikipedia-konstantin-stoilov
event-bulgarian-liturgy-1858,Литургия на български език,Liturgy in Bulgarian,1858,,revival,historical_timeline,1,,,,,,source-wikipedia-plovdiv
event-birth-sehbenderzade-ahmed-hilmi-q4695337,Раждане на Ахмед Хилми от Пловдив,Birth of Şehbenderzade Ahmed Hilmi,1865,,revival,notable_person_birth,1,,,person-sehbenderzade-ahmed-hilmi-q4695337,place-plovdiv-city,,source-wikipedia-ahmed-hilmi-of-filibe
event-birth-mary-m-haskell-q27881208,Раждане на Мери Хаскел,Birth of Mary M. Haskell,1869,,revival,notable_person_birth,1,,,person-mary-m-haskell-q27881208,place-plovdiv-city,,source-wikipedia-mary-m-haskell
event-birth-panayot-pipkov-q2048895,Раждане на Панайот Пипков,Birth of Panayot Pipkov,1871,,revival,notable_person_birth,1,,,person-panayot-pipkov-q2048895,place-plovdiv-city,,source-wikipedia-panayot-pipkov
event-birth-maria-toromanova-hmelik-q19902875,Раждане на Мария Тороманова-Хмелик,Birth of Maria Toromanova-Hmelik,1876,,revival,notable_person_birth,1,,,person-maria-toromanova-hmelik-q19902875,place-plovdiv-city,,source-wikipedia-maria-toromanova-hmelik
event-birth-christos-tsigiridis-q5113595,Раждане на Христос Цигиридис,Birth of Christos Tsigiridis,1877,,revival,notable_person_birth,1,,,person-christos-tsigiridis-q5113595,place-plovdiv-city,,source-wikipedia-christos-tsigiridis
event-birth-mihail-gerdzhikov-q439762,Раждане на Михаил Герджиков,Birth of Mihail Gerdzhikov,1877,,revival,notable_person_birth,1,,,person-mihail-gerdzhikov-q439762,place-plovdiv-city,,source-wikipedia-mihail-gerdzhikov
event-birth-bigal-mehmet-cavus-q40091527,Раждане на Бигалъ Мехмет Чавуш,Birth of Bigalı Mehmet Çavuş,1878,,liberation,notable_person_birth,1,,,person-bigal-mehmet-cavus-q40091527,place-plovdiv-city,,source-wikipedia-bigal-mehmet-cavus
event-liberation-1878,Освобождение,Liberation,1878,,liberation,historical_timeline,2,"Датата изисква редакторски преглед: основният обобщаващ запис използва 17 януари 1878 г., а Регионалният исторически музей - Пловдив представя освобождението като 16 януари 1878 г.","The date needs editorial review: the primary summary record uses 17 January 1878, while the Regional History Museum Plovdiv presents the liberation as 16 January 1878.",,,,source-wikipedia-plovdiv|source-regional-history-museum-plovdiv-the-liberation-of-plovdiv
event-mayor-01-atanas-samokovliev,Кмет: Атанас Самоковлиев,Mayor: Atanas Samokovliev,1878,1878,liberation,mayor_term,1,,,person-atanas-samokovliev,place-plovdiv-city,org-plovdiv-municipality,source-plovdiv-mayor-archive
event-mayor-02-kostaki-peev,Кмет: Костаки Пеев,Mayor: Kostaki Peev,1878,1880,liberation,mayor_term,1,,,person-kostaki-peev,place-plovdiv-city,org-plovdiv-municipality,source-plovdiv-mayor-archive
event-eastern-rumelia-1878,Столица на Източна Румелия,Capital of Eastern Rumelia,1879,,liberation,historical_timeline,1,,,,place-plovdiv-city,,source-wikipedia-plovdiv
event-birth-enis-akaygen-q6067938,Раждане на Енис Акайген,Birth of Enis Akaygen,1880,,liberation,notable_person_birth,1,,,person-enis-akaygen-q6067938,place-plovdiv-city,,source-wikipedia-enis-akaygen
event-mayor-03-ivan-stefanov-geshov,Кмет: Иван Стефанов Гешов,Mayor: Ivan Stefanov Geshov,1880,1883,liberation,mayor_term,1,,,person-ivan-stefanov-geshov,place-plovdiv-city,org-plovdiv-municipality,source-plovdiv-mayor-archive
event-birth-ali-r-za-artunkal-q6086393,Раждане на Али Ръза Артунгкал,Birth of Ali Rıza Artunkal,1881,,liberation,notable_person_birth,1,,,person-ali-r-za-artunkal-q6086393,place-plovdiv-city,,source-wikipedia-ali-r-za-artunkal
event-birth-elisaveta-konsulova-vazova-q12279745,Раждане на Елисавета Консулова-Вазова,Birth of Elisaveta Konsulova-Vazova,1881,,liberation,notable_person_birth,1,,,person-elisaveta-konsulova-vazova-q12279745,place-plovdiv-city,,source-wikipedia-elisaveta-konsulova-vazova
event-birth-georgi-atanasov-q5547103,Раждане на Георги Атанасов,Birth of Georgi Atanasov,1882,,liberation,notable_person_birth,1,,,person-georgi-atanasov-q5547103,place-plovdiv-city,,source-wikipedia-georgi-atanasov
