id,name_bg,name_en,roles,birth_year,death_year,term_events,event_ids,place_ids,organization_ids,source_ids,editorial_status
person-albena-branzova-q2830854,Албена Брънзова-Димитрова,Albena Branzova,athlete|basketball_player,1971,,,event-birth-albena-branzova-q2830854,place-plovdiv-city,,source-wikipedia-albena-branzova,needs_editorial_signoff
person-aleksandra-monedzhikova-q28324141,Александра Монеджикова,Aleksandra Monedzhikova,geographer|scholar,1889,1959,,event-birth-aleksandra-monedzhikova-q28324141,place-plovdiv-city,,source-wikipedia-aleksandra-monedzhikova,needs_editorial_signoff
person-aleksandra-nacheva-q55569450,Александра Начева,Aleksandra Nacheva,athlete,2001,,,event-birth-aleksandra-nacheva-q55569450,place-plovdiv-city,,source-wikipedia-aleksandra-nacheva,needs_editorial_signoff
person-aleksandrina-naydenova-q4715613,Александрина Найденова,Aleksandrina Naydenova,athlete|tennis_player,1992,,,event-birth-aleksandrina-naydenova-q4715613,place-plovdiv-city,,source-wikipedia-aleksandrina-naydenova,needs_editorial_signoff
person-alexandar-komanov-q4718098,Александър Команов,Alexandar Komanov,artist|martial_artist|athlete,1990,,,event-birth-alexandar-komanov-q4718098,place-plovdiv-city,,source-wikipedia-alexandar-komanov,needs_editorial_signoff
person-alexander-pulev-q113383770,Александър Пулев,Alexander Pulev,politician,1981,,,event-birth-alexander-pulev-q113383770,place-plovdiv-city,,source-wikipedia-alexander-pulev,needs_editorial_signoff
person-miro-q2833189,Александър Русев,Miro,wrestler|athlete|rower,1985,,,event-birth-miro-q2833189,place-plovdiv-city,,source-wikipedia-miro,needs_editorial_signoff
person-alexander-sekulov-q30170062,Александър Секулов,Alexander Sekulov,writer|poet,1964,,,event-birth-alexander-sekulov-q30170062,place-plovdiv-city,,source-wikipedia-alexander-sekulov,needs_editorial_signoff
person-aleksandar-khristov-q620406,Александър Христов,Aleksandar Khristov,boxer|athlete,1964,,,event-birth-aleksandar-khristov-q620406,place-plovdiv-city,,source-wikipedia-aleksandar-khristov,needs_editorial_signoff
person-ali-r-za-artunkal-q6086393,Али Ръза Артунгкал,Ali Rıza Artunkal,politician|military_officer,1881,1959,,event-birth-ali-r-za-artunkal-q6086393,place-plovdiv-city,,source-wikipedia-ali-r-za-artunkal,needs_editorial_signoff
person-angel-kodinov-q26218345,Ангел Кодинов,Angel Kodinov,canoeist|athlete,1997,,,event-birth-angel-kodinov-q26218345,place-plovdiv-city,,source-wikipedia-angel-kodinov,needs_editorial_signoff
person-angel-semerdzhiev,Ангел Семерджиев,Ангел Семерджиев,mayor,,,event-mayor-11-angel-semerdzhiev,event-mayor-11-angel-semerdzhiev,place-plovdiv-city,org-plovdiv-municipality,source-plovdiv-mayor-archive,needs_editorial_signoff
person-angelina-mikhaylova-q2493179,Ангелина Михайлова,Angelina Mikhaylova,athlete|basketball_player,1960,,,event-birth-angelina-mikhaylova-q2493179,place-plovdiv-city,,source-wikipedia-angelina-mikhaylova,needs_editorial_signoff
person-aneta-germanova-q2849228,Анета Германова,Aneta Germanova,volleyball_player|athlete,1975,,,event-birth-aneta-germanova-q2849228,place-plovdiv-city,,source-wikipedia-aneta-germanova,needs_editorial_signoff
person-angel-wagenstein-q531900,Анжел Вагенщайн,Angel Wagenstein,film_director|screenwriter|writer,1922,2023,,event-birth-angel-wagenstein-q531900,place-plovdiv-city,,source-wikipedia-angel-wagenstein,needs_editorial_signoff
person-anna-angelova-q4766820,Анна Ангелова,Anna Angelova,fencer|athlete,1971,,,event-birth-anna-angelova-q4766820,place-plovdiv-city,,source-wikipedia-anna-angelova,needs_editorial_signoff
person-henri-calef-q3130778,Анри Калеф,Henri Calef,film_director|screenwriter,1910,1994,,event-birth-henri-calef-q3130778,place-plovdiv-city,,source-wikipedia-henri-calef,needs_editorial_signoff
person-antoaneta-pandjerova-q12272133,Антоанета Панджерова,Antoaneta Pandjerova,tennis_player|athlete,1977,,,event-birth-antoaneta-pandjerova-q12272133,place-plovdiv-city,,source-wikipedia-antoaneta-pandjerova,needs_editorial_signoff
person-antoaneta-strumenlieva-q29054643,Антоанета Струменлиева,Antoaneta Strumenlieva,swimmer|athlete,1968,,,event-birth-antoaneta-strumenlieva-q29054643,place-plovdiv-city,,source-wikipedia-antoaneta-strumenlieva,needs_editorial_signoff
person-antonios-komizopoulos-q16331276,Антониос Комизопулос,Antonios Komizopoulos,merchant|revolutionary,,,,,,,source-wikipedia-antonios-komizopoulos,needs_editorial_signoff
person-apostolos-nikolaidis-q331223,Апостолос Николаидис,Apostolos Nikolaidis,athlete|footballer,1896,1980,,event-birth-apostolos-nikolaidis-q331223,place-plovdiv-city,,source-wikipedia-apostolos-nikolaidis,needs_editorial_signoff
person-armand-tokatyan-q4792706,Арманд Токатян,Armand Tokatyan,singer|opera_singer,1894,1960,,event-birth-armand-tokatyan-q4792706,place-plovdiv-city,,source-wikipedia-armand-tokatyan,needs_editorial_signoff
person-asen-kisimov-q4804159,Асен Кисимов,Asen Kisimov,actor,1936,2005,,event-birth-asen-kisimov-q4804159,place-plovdiv-city,,source-wikipedia-asen-kisimov,needs_editorial_signoff
person-assia-zlatkowa-q4808843,Ася Златкова,Assia Zlatkowa,pianist|musician,1953,,,event-birth-assia-zlatkowa-q4808843,place-plovdiv-city,,source-wikipedia-assia-zlatkowa,needs_editorial_signoff
person-atanas-kostov,Атанас Костов,Атанас Костов,mayor,,,event-mayor-51-atanas-kostov,event-mayor-51-atanas-kostov,place-plovdiv-city,org-plovdiv-municipality,source-plovdiv-mayor-archive,needs_editorial_signoff
person-atanas-mladenov-q4812753,Атанас Младенов,Atanas Mladenov,high_jumper|athlete,1960,,,event-birth-atanas-mladenov-q4812753,place-plovdiv-city,,source-wikipedia-atanas-mladenov,needs_editorial_signoff
person-atanas-samokovliev,Атанас Самоковлиев,Атанас Самоковлиев,mayor,1832,1905,event-mayor-01-atanas-samokovliev,event-mayor-01-atanas-samokovliev,place-plovdiv-city,org-plovdiv-municipality,source-plovdiv-mayor-archive|source-wikipedia-atanas-samokovliev,needs_editorial_signoff
person-atanas-hranov-q27230293,Атанас Хранов,Atanas Hranov,artist|painter,1961,,,event-birth-atanas-hranov-q27230293,place-plovdiv-city,,source-wikipedia-atanas-hranov,needs_editorial_signoff
person-sehbenderzade-ahmed-hilmi-q4695337,Ахмед Хилми от Пловдив,Şehbenderzade Ahmed Hilmi,writer|clergy,1865,1914,,event-birth-sehbenderzade-ahmed-hilmi-q4695337,place-plovdiv-city,,source-wikipedia-ahmed-hilmi-of-filibe,needs_editorial_signoff
person-ayan-sadakov-q1986376,Аян Садъков,Ayan Sadakov,footballer,1961,2017,,event-birth-ayan-sadakov-q1986376,place-plovdiv-city,,source-wikipedia-ayan-sadakov,needs_editorial_signoff
person-bigal-mehmet-cavus-q40091527,Бигалъ Мехмет Чавуш,Bigalı Mehmet Çavuş,military_officer,1878,1964,,event-birth-bigal-mehmet-cavus-q40091527,place-plovdiv-city,,source-wikipedia-bigal-mehmet-cavus,needs_editorial_signoff
person-biser-boyadzhiev-q56224072,Бисер Бояджиев,Biser Boyadzhiev,rower|athlete,1948,,,event-birth-biser-boyadzhiev-q56224072,place-plovdiv-city,,source-wikipedia-biser-boyadzhiev,needs_editorial_signoff
