id,relationship_type,direction,from_person_id,to_person_id,event_id,evidence_property,source_ids,editorial_status
person-rel-angel-semerdzhiev-succeeded-by-konstantin-hadzhikalchov-mayor-11-angel-semerdzhiev,succeeded_by,directed,person-angel-semerdzhiev,person-konstantin-hadzhikalchov,event-mayor-11-angel-semerdzhiev,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-angel-semerdzhiev-succeeds-stefan-kalchev-mayor-11-angel-semerdzhiev,succeeds,directed,person-angel-semerdzhiev,person-stefan-kalchev,event-mayor-11-angel-semerdzhiev,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-atanas-kostov-succeeded-by-ivan-dimitrov-mayor-51-atanas-kostov,succeeded_by,directed,person-atanas-kostov,person-ivan-dimitrov,event-mayor-51-atanas-kostov,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-atanas-kostov-succeeds-nikola-balkandzhiev-mayor-51-atanas-kostov,succeeds,directed,person-atanas-kostov,person-nikola-balkandzhiev,event-mayor-51-atanas-kostov,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-atanas-samokovliev-succeeded-by-kostaki-peev-mayor-01-atanas-samokovliev,succeeded_by,directed,person-atanas-samokovliev,person-kostaki-peev,event-mayor-01-atanas-samokovliev,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-bozhidar-zdravkov-succeeded-by-georgi-todorov-mayor-43-bozhidar-zdravkov,succeeded_by,directed,person-bozhidar-zdravkov,person-georgi-todorov,event-mayor-43-bozhidar-zdravkov,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-bozhidar-zdravkov-succeeded-by-petar-malchev-mayor-45-bozhidar-zdravkov,succeeded_by,directed,person-bozhidar-zdravkov,person-petar-malchev,event-mayor-45-bozhidar-zdravkov,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-bozhidar-zdravkov-succeeds-enyu-manolov-mayor-43-bozhidar-zdravkov,succeeds,directed,person-bozhidar-zdravkov,person-enyu-manolov,event-mayor-43-bozhidar-zdravkov,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-bozhidar-zdravkov-succeeds-georgi-todorov-mayor-45-bozhidar-zdravkov,succeeds,directed,person-bozhidar-zdravkov,person-georgi-todorov,event-mayor-45-bozhidar-zdravkov,,source-plovdiv-mayor-archive,needs_editorial_signoff
person-rel-d-r-asen-kozhuharov-succeeded-by-ivan-perpeliev-mayor-48-d-r-asen-kozhuharov,succeeded_by,directed,person-d-r-asen-kozhuharov,person-ivan-perpeliev,event-mayor-48-d-r-asen-kozhuharov,,source-plovdiv-mayor-archive,needs_editorial_signoff
