id,collection,role,title_bg,title_en,review_url_bg,review_url_en,api_url,source_count,source_ids,source_urls,license_statuses,has_open_license,has_public_reference_terms,has_license_or_reuse_status,needs_multi_source_review,editorial_status,blockers
event-prehistory-settlement,events,primary_entity,Едно от най-старите селища в света,One of the world's oldest settlements,/history#event-prehistory-settlement,/en/history#event-prehistory-settlement,/api/history/events.json,2,source-wikipedia-plovdiv|source-visit-plovdiv-the-antique-plovdiv,https://en.wikipedia.org/wiki/Plovdiv|https://www.visitplovdiv.com/en/node/520,open_license|public_reference_terms_unverified,true,true,true,false,needs_editorial_signoff,needs_independent_editorial_signoff
event-thracian-eumolpias,events,primary_entity,Тракийският град Евмолпия,The Thracian town of Eumolpias,/history#event-thracian-eumolpias,/en/history#event-thracian-eumolpias,/api/history/events.json,2,source-wikipedia-plovdiv|source-visit-plovdiv-the-antique-plovdiv,https://en.wikipedia.org/wiki/Plovdiv|https://www.visitplovdiv.com/en/node/520,open_license|public_reference_terms_unverified,true,true,true,false,needs_editorial_signoff,needs_independent_editorial_signoff
event-philip-philippopolis,events,primary_entity,Филип II и Филипопол,Philip II and Philippopolis,/history#event-philip-philippopolis,/en/history#event-philip-philippopolis,/api/history/events.json,2,source-wikipedia-plovdiv|source-visit-plovdiv-the-antique-plovdiv,https://en.wikipedia.org/wiki/Plovdiv|https://www.visitplovdiv.com/en/node/520,open_license|public_reference_terms_unverified,true,true,true,false,needs_editorial_signoff,needs_independent_editorial_signoff
event-roman-trimontium,events,primary_entity,Тримонциум — част от Римската империя,Trimontium joins the Roman Empire,/history#event-roman-trimontium,/en/history#event-roman-trimontium,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-roman-theatre,events,primary_entity,Изграждане на Античния театър,The Roman theatre is built,/history#event-roman-theatre,/en/history#event-roman-theatre,/api/history/events.json,2,source-wikipedia-plovdiv|source-visit-plovdiv-ancient-theatre,https://en.wikipedia.org/wiki/Plovdiv|https://www.visitplovdiv.com/en/node/522,open_license|public_reference_terms_unverified,true,true,true,false,needs_editorial_signoff,needs_independent_editorial_signoff
event-roman-stadium,events,primary_entity,Изграждане на Античния стадион,The Roman stadium is built,/history#event-roman-stadium,/en/history#event-roman-stadium,/api/history/events.json,2,source-wikipedia-plovdiv|source-ancient-stadium-of-philippopolis-site-history,https://en.wikipedia.org/wiki/Plovdiv|https://ancient-stadium-plovdiv.eu/?l=2&p=12,open_license|public_reference_terms_unverified,true,true,true,false,needs_editorial_signoff,needs_independent_editorial_signoff
event-goths-250,events,primary_entity,Опожаряване от готите,Sacked by the Goths,/history#event-goths-250,/en/history#event-goths-250,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-huns-441,events,primary_entity,Разрушение от хуните,Destroyed by the Huns,/history#event-huns-441,/en/history#event-huns-441,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-krum-812,events,primary_entity,Хан Крум превзема града,Khan Krum takes the city,/history#event-krum-812,/en/history#event-krum-812,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-malamir-834,events,primary_entity,В пределите на България,Into the Bulgarian Empire,/history#event-malamir-834,/en/history#event-malamir-834,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-barbarossa-1189,events,primary_entity,Третият кръстоносен поход,The Third Crusade,/history#event-barbarossa-1189,/en/history#event-barbarossa-1189,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-ivan-asen-1230,events,primary_entity,Иван Асен II си връща града,Ivan Asen II reclaims the city,/history#event-ivan-asen-1230,/en/history#event-ivan-asen-1230,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-bulgaria-1323,events,primary_entity,Окончателно българско владение,Definitive Bulgarian rule,/history#event-bulgaria-1323,/en/history#event-bulgaria-1323,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-ottoman-1364,events,primary_entity,Османско завладяване — Филибе,Ottoman conquest — Filibe,/history#event-ottoman-1364,/en/history#event-ottoman-1364,/api/history/events.json,1,source-wikipedia-plovdiv,https://en.wikipedia.org/wiki/Plovdiv,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-birth-haf-z-ahmed-pasha-q367949,events,primary_entity,Раждане на Хафъз Ахмед паша,Birth of Hafız Ahmed Pasha,/history#event-birth-haf-z-ahmed-pasha-q367949,/en/history#event-birth-haf-z-ahmed-pasha-q367949,/api/history/events.json,1,source-wikipedia-haf-z-ahmed-pasha,https://en.wikipedia.org/wiki/Haf%C4%B1z_Ahmed_Pasha,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-birth-eugenius-ii-of-constantinople-q1884172,events,primary_entity,Раждане на Евгений II Константинополски,Birth of Eugenius II of Constantinople,/history#event-birth-eugenius-ii-of-constantinople-q1884172,/en/history#event-birth-eugenius-ii-of-constantinople-q1884172,/api/history/events.json,1,source-wikipedia-eugenius-ii-of-constantinople,https://en.wikipedia.org/wiki/Eugenius_II_of_Constantinople,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
event-birth-georgios-kleovoulos-q18912873,events,primary_entity,Раждане на Георгиос Клеовулос,Birth of Georgios Kleovoulos,/history#event-birth-georgios-kleovoulos-q18912873,/en/history#event-birth-georgios-kleovoulos-q18912873,/api/history/events.json,1,source-wikipedia-georgios-kleovoulos,https://en.wikipedia.org/wiki/Georgios_Kleovoulos,open_license,true,false,true,true,needs_editorial_signoff,needs_independent_editorial_signoff
