id,title_bg,title_en,publisher,url,accessed_at,license_status,license_label
source-0530-vid-na-odnu-iz-ulits-filippopolya-plovdiva-yanvar-1878-jpg,"0530 Вид на одну из улиц Филиппополя (Пловдива), январь 1878.jpg","0530 Вид на одну из улиц Филиппополя (Пловдива), январь 1878.jpg","0530 Вид на одну из улиц Филиппополя (Пловдива), январь 1878.jpg",https://commons.wikimedia.org/wiki/File:0530_%D0%92%D0%B8%D0%B4_%D0%BD%D0%B0_%D0%BE%D0%B4%D0%BD%D1%83_%D0%B8%D0%B7_%D1%83%D0%BB%D0%B8%D1%86_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%BE%D0%BF%D0%BE%D0%BB%D1%8F_(%D0%9F%D0%BB%D0%BE%D0%B2%D0%B4%D0%B8%D0%B2%D0%B0)%2C_%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8C_1878.jpg,2026-06-19,open_license,Public domain
source-1972feb-150-lamartine-ffloor-jpeg,1972Feb 150* Lamartine FFloor.jpeg,1972Feb 150* Lamartine FFloor.jpeg,1972Feb 150* Lamartine FFloor.jpeg,https://commons.wikimedia.org/wiki/File:1972Feb_150*_Lamartine_FFloor.jpeg,2026-06-19,open_license,CC BY-SA 3.0
source-administrative-register-plovdiv-mayor,Административен регистър — кмет на Община Пловдив,Bulgarian Administrative Register — mayor of Plovdiv Municipality,Административен регистър,https://iisda.government.bg/ras/governing_bodies/governing_body/4700,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-ancient-stadium-of-philippopolis-site-history,Ancient Stadium of Philippopolis — site history,Ancient Stadium of Philippopolis — site history,Ancient Stadium of Philippopolis,https://ancient-stadium-plovdiv.eu/?l=2&p=12,2026-06-19,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-bahnhof-von-plowdiw-jpg,Bahnhof von Plowdiw.jpg,Bahnhof von Plowdiw.jpg,Bahnhof von Plowdiw.jpg,https://commons.wikimedia.org/wiki/File:Bahnhof_von_Plowdiw.jpg,2026-06-19,open_license,Public domain
source-basa-1318k-1-5896-2-opening-of-1939-plovdiv-fair-jpg,BASA 1318K-1-5896-2 Opening of 1939 Plovdiv fair.jpg,BASA 1318K-1-5896-2 Opening of 1939 Plovdiv fair.jpg,BASA 1318K,https://commons.wikimedia.org/wiki/File:BASA_1318K-1-5896-2_Opening_of_1939_Plovdiv_fair.jpg,2026-06-19,open_license,Public domain
source-basa-1625k-1-22-5-balkan-cinema-plovdiv-bulgaria-jpg,"BASA-1625K-1-22-5-Balkan cinema, Plovdiv, Bulgaria.jpg","BASA-1625K-1-22-5-Balkan cinema, Plovdiv, Bulgaria.jpg",BASA,https://commons.wikimedia.org/wiki/File:BASA-1625K-1-22-5-Balkan_cinema%2C_Plovdiv%2C_Bulgaria.jpg,2026-06-19,open_license,Public domain
source-basa-1735k-1-345-24-tsar-simeon-garden-plovdiv-bulgaria-1915-jpg,"BASA-1735K-1-345-24-Tsar Simeon Garden, Plovdiv, Bulgaria, 1915.jpg","BASA-1735K-1-345-24-Tsar Simeon Garden, Plovdiv, Bulgaria, 1915.jpg",BASA,https://commons.wikimedia.org/wiki/File:BASA-1735K-1-345-24-Tsar_Simeon_Garden%2C_Plovdiv%2C_Bulgaria%2C_1915.jpg,2026-06-19,open_license,Public domain
source-basa-3k-7-327-1-international-fair-plovdiv-1892-jpg,"BASA-3K-7-327-1-International Fair Plovdiv, 1892.jpg","BASA-3K-7-327-1-International Fair Plovdiv, 1892.jpg",BASA,https://commons.wikimedia.org/wiki/File:BASA-3K-7-327-1-International_Fair_Plovdiv%2C_1892.jpg,2026-06-19,open_license,Public domain
source-basa-3k-7-327-10-international-fair-plovdiv-1892-jpg,"BASA-3K-7-327-10-International Fair Plovdiv, 1892.jpg","BASA-3K-7-327-10-International Fair Plovdiv, 1892.jpg",BASA,https://commons.wikimedia.org/wiki/File:BASA-3K-7-327-10-International_Fair_Plovdiv%2C_1892.jpg,2026-06-19,open_license,Public domain
source-basa-741k-2-124-2-ivan-vazov-national-library-plovdiv-jpg,"BASA-741K-2-124-2-Ivan Vazov National Library, Plovdiv.JPG","BASA-741K-2-124-2-Ivan Vazov National Library, Plovdiv.JPG",BASA,https://commons.wikimedia.org/wiki/File:BASA-741K-2-124-2-Ivan_Vazov_National_Library%2C_Plovdiv.JPG,2026-06-19,open_license,Public domain
source-bnr-budget-2019,БНР — приет бюджет на Пловдив за 2019 г.,BNR — adopted Plovdiv 2019 budget,БНР,https://old-news.bnr.bg/plovdiv/post/101075189/prieha-budjeta-na-plovdiv-kapitalovata-programa-e-za-60-miliona-leva,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-bnt-pochistvat-kvartal-stolipinovo,БНТ — почистват квартал „Столипиново“,БНТ — почистват квартал „Столипиново“,БНТ,https://bnt.bg/news/pochistvat-kvartal-stolipinovo-iniciativata-obedinyava-dobrovolci-i-mestni-zhiteli-v413436-348167news.html,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-bta-august-15-1892-first-agricultural-and-industrial-exhibition-in-bulgaria-open,"BTA — August 15, 1892: First Agricultural and Industrial Exhibition in Bulgaria opens","BTA — August 15, 1892: First Agricultural and Industrial Exhibition in Bulgaria opens",BTA,https://www.bta.bg/en/news/archives/949332-august-15-1892-first-agricultural-and-industrial-exhibition-in-bulgaria-opens-,2026-06-19,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-bulnao-plovdiv-2002-audit,Сметна палата — финансов одит на бюджета на Община Пловдив към 30.09.2002 г.,Bulgarian National Audit Office financial audit of Plovdiv Municipality budget as of 30 September 2002,Сметна палата,https://www.bulnao.government.bg/media/documents/doklad_Pv.doc,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-bulnao-plovdiv-2010-audit,Сметна палата — одитен доклад за ГФО на Община Пловдив за 2010 г.,Bulgarian National Audit Office audit report on Plovdiv Municipality 2010 annual financial report,Сметна палата,https://www.bulnao.government.bg/bg/articles/download/4485/17-DOKL-GFO-PLOVDIV-2010-REDAK.doc,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-bulnao-plovdiv-financial-management-followup-2006-2008,"Сметна палата — последващ контрол по одит на финансовото управление на Община Пловдив, 2006-2008","Bulgarian National Audit Office follow-up on Plovdiv Municipality financial-management audit, 2006-2008",Сметна палата,https://www.bulnao.government.bg/media/documents/DokladPoslControl_Plovdiv1.doc,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-bulnao-plovdiv-property-audit-1998-2005,"Сметна палата — одит на управлението и разпореждането с общински имоти, 1998-2005","Bulgarian National Audit Office audit of municipal property management and disposal, 1998-2005",Сметна палата,https://www.bulnao.government.bg/media/documents/dokla_plovdiv210907.doc,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-center-for-jewish-art-metropolitan-kiril-plaque-in-plovdiv,Center for Jewish Art — Metropolitan Kiril plaque in Plovdiv,Center for Jewish Art — Metropolitan Kiril plaque in Plovdiv,Center for Jewish Art,https://cja.huji.ac.il/browser.php?id=58077&mode=set,2026-06-19,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-chirpan-earthquake-plovdiv-jpg,Chirpan Earthquake - Plovdiv.jpg,Chirpan Earthquake - Plovdiv.jpg,Chirpan Earthquake,https://commons.wikimedia.org/wiki/File:Chirpan_Earthquake_-_Plovdiv.jpg,2026-06-19,open_license,Public domain
source-ciela-dv-pms-149-plovdiv-infrastructure-2007,Държавен вестник — ПМС №149 от 29.06.2007 г.,State Gazette — Council of Ministers Decree 149 from 29 June 2007,Държавен вестник,https://www.ciela.net/svobodna-zona-darjaven-vestnik/document/2135557333/issue/3089/postanovlenie-%E2%84%96-149-ot-29-yuni-2007-g-za-odobryavane-na-dopalnitelni-byudzhetni-krediti-po-byudzheta-na-obshtina-plovdiv-za-2007-g-za-finansirane-na-infrastrukturni-obekti,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-ciela-dv-pms-307-plovdiv-waste-infrastructure-2012,Държавен вестник — ПМС №307 от 30.11.2012 г.,State Gazette — Council of Ministers Decree 307 from 30 November 2012,Държавен вестник,https://www.ciela.net/svobodna-zona-darjaven-vestnik/document/2135827830/issue/4772/postanovlenie-%E2%84%96-307-ot-30-noemvri-2012-g-za-odobryavane-na-dopalnitelni-byudzhetni-krediti-po-byudzheta-na-obshtina-plovdiv-vav-vrazka-s-priemaneto-i-deponiraneto-na-100-000-tona-balirani-neopasni-bitovi-otpadatsi-generirani-na-teritoriyata-na-stolichnata-ob,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-darik-euro-budget-2026,Дарик — първи бюджет в евро за Пловдив,Darik — Plovdiv's first budget in euros,Дарик,https://darik.bg/parvi-budzet-v-evro-za-plovdiv-vliza-na-glasuvane-v-obstinskia-savet~503815.html,2026-06-14,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-dv-pms-138-plovdiv-waste-infrastructure-2010,Държавен вестник — ПМС №138 от 15.07.2010 г.,State Gazette — Council of Ministers Decree 138 from 15 July 2010,Държавен вестник,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=35023,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-dv-pms-289-plovdiv-culture-house-reallocation-2010,Държавен вестник — ПМС №289 от 07.12.2010 г.,State Gazette — Council of Ministers Decree 289 from 7 December 2010,Държавен вестник,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=41615,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-dv-pms-72-plovdiv-beautification-2009,Държавен вестник — ПМС №72 от 30.03.2009 г.,State Gazette — Council of Ministers Decree 72 from 30 March 2009,Държавен вестник,https://dv.parliament.bg/DVWeb/showMaterialDV.jsp?idMat=18235,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-dzhumaya-square-on-old-postcard-2-jpg,Dzhumaya square on old postcard 2.jpg,Dzhumaya square on old postcard 2.jpg,Dzhumaya square on old postcard 2.jpg,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard_2.jpg,2026-06-19,open_license,Public domain
source-dzhumaya-square-on-old-postcard-3-jpg,Dzhumaya square on old postcard 3.jpg,Dzhumaya square on old postcard 3.jpg,Dzhumaya square on old postcard 3.jpg,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard_3.jpg,2026-06-19,open_license,Public domain
source-dzhumaya-square-on-old-postcard-jpg,Dzhumaya square on old postcard.jpg,Dzhumaya square on old postcard.jpg,Dzhumaya square on old postcard.jpg,https://commons.wikimedia.org/wiki/File:Dzhumaya_square_on_old_postcard.jpg,2026-06-19,open_license,Public domain
source-european-commission-ecoc-2019,Европейска комисия — Европейски столици на културата 2019,European Commission — 2019 European Capitals of Culture,Европейска комисия,https://culture.ec.europa.eu/whats-new/news/2019-european-capitals-of-culture-plovdiv-and-matera,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
source-facebook-koloezdachi-velosipedisti-v-plovdiv,Facebook — Колоездачи / велосипедисти в Пловдив,Facebook — Колоездачи / велосипедисти в Пловдив,Facebook,https://www.facebook.com/p/%D0%9A%D0%BE%D0%BB%D0%BE%D0%B5%D0%B7%D0%B4%D0%B0%D1%87%D0%B8-%D0%B2%D0%B5%D0%BB%D0%BE%D1%81%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%81%D1%82%D0%B8-%D0%B2-%D0%9F%D0%BB%D0%BE%D0%B2%D0%B4%D0%B8%D0%B2-100070168143097/,2026-06-17,public_reference_terms_unverified,Public web reference; reuse terms not verified
